study_id,source_zip,metric,value,metric_label
202605262007251113,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605262007251113_完整实验数据包(1).zip,system_acceptance,4,Acceptance
202605262005497371,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605262005497371_完整实验数据包 (1).zip,system_acceptance,5,Acceptance
202605260951386110,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605260951386110_完整实验数据包.zip,system_acceptance,6,Acceptance
202605250010279495,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605250010279495_完整实验数据包(1).zip,system_acceptance,8,Acceptance
202605242350044431,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605242350044431_完整实验数据包.zip,system_acceptance,3,Acceptance
202605241808324046,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241808324046_完整实验数据包.zip,system_acceptance,7,Acceptance
202605241546402950,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241546402950_完整实验数据包.zip,system_acceptance,3,Acceptance
202605241535115854,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241535115854_完整实验数据包(1).zip,system_acceptance,6,Acceptance
202605232028003688,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605232028003688_完整实验数据包.zip,system_acceptance,10,Acceptance
202605220035401501,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605220035401501_完整实验数据包.zip,system_acceptance,1,Acceptance
202605211631039666,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605211631039666_完整实验数据包.zip,system_acceptance,5,Acceptance
202605211037337239,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605211037337239_完整实验数据包.zip,system_acceptance,5,Acceptance
202605211009141317,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\李帝均KOA_HCI_202605211009141317_完整实验数据包(1).zip,system_acceptance,5,Acceptance
202605210841183999,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605210841183999_完整实验数据包.zip,system_acceptance,5,Acceptance
202605201744236367,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201744236367_完整实验数据包(1).zip,system_acceptance,1,Acceptance
202605201744003591,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201744003591_完整实验数据包(1).zip,system_acceptance,8,Acceptance
202605201615368756,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201615368756_完整实验数据包.zip,system_acceptance,6,Acceptance
202605201541035791,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201541035791_完整实验数据包(1).zip,system_acceptance,3,Acceptance
202605200932192020,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200932192020_完整实验数据包(1).zip,system_acceptance,0,Acceptance
202605200907425618,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200907425618_完整实验数据包.zip,system_acceptance,7,Acceptance
202605200837364163,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200837364163_完整实验数据包(1).zip,system_acceptance,8,Acceptance
202605192200295883,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605192200295883_完整实验数据包.zip,system_acceptance,9,Acceptance
202605131333049798,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605131333049798_完整实验数据包(1)(1).zip,system_acceptance,7,Acceptance
202605111508532089,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605111508532089_完整实验数据包(1).zip,system_acceptance,9,Acceptance
202605102045329090,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605102045329090_完整实验数据包(1).zip,system_acceptance,7,Acceptance
202605092301375266,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605092301375266_完整实验数据包(1).zip,system_acceptance,9,Acceptance
202605262007251113,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605262007251113_完整实验数据包(1).zip,future_use,3,Future use
202605262005497371,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605262005497371_完整实验数据包 (1).zip,future_use,5,Future use
202605260951386110,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605260951386110_完整实验数据包.zip,future_use,7,Future use
202605250010279495,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605250010279495_完整实验数据包(1).zip,future_use,8,Future use
202605242350044431,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605242350044431_完整实验数据包.zip,future_use,5,Future use
202605241808324046,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241808324046_完整实验数据包.zip,future_use,6,Future use
202605241546402950,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241546402950_完整实验数据包.zip,future_use,3,Future use
202605241535115854,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241535115854_完整实验数据包(1).zip,future_use,7,Future use
202605232028003688,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605232028003688_完整实验数据包.zip,future_use,10,Future use
202605220035401501,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605220035401501_完整实验数据包.zip,future_use,9,Future use
202605211631039666,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605211631039666_完整实验数据包.zip,future_use,4,Future use
202605211037337239,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605211037337239_完整实验数据包.zip,future_use,1,Future use
202605211009141317,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\李帝均KOA_HCI_202605211009141317_完整实验数据包(1).zip,future_use,5,Future use
202605210841183999,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605210841183999_完整实验数据包.zip,future_use,4,Future use
202605201744236367,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201744236367_完整实验数据包(1).zip,future_use,1,Future use
202605201744003591,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201744003591_完整实验数据包(1).zip,future_use,9,Future use
202605201615368756,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201615368756_完整实验数据包.zip,future_use,6,Future use
202605201541035791,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201541035791_完整实验数据包(1).zip,future_use,4,Future use
202605200932192020,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200932192020_完整实验数据包(1).zip,future_use,0,Future use
202605200907425618,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200907425618_完整实验数据包.zip,future_use,7,Future use
202605200837364163,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200837364163_完整实验数据包(1).zip,future_use,8,Future use
202605192200295883,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605192200295883_完整实验数据包.zip,future_use,9,Future use
202605131333049798,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605131333049798_完整实验数据包(1)(1).zip,future_use,10,Future use
202605111508532089,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605111508532089_完整实验数据包(1).zip,future_use,9,Future use
202605102045329090,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605102045329090_完整实验数据包(1).zip,future_use,8,Future use
202605092301375266,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605092301375266_完整实验数据包(1).zip,future_use,9,Future use
202605262007251113,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605262007251113_完整实验数据包(1).zip,clinical_usefulness,5,Usefulness
202605262005497371,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605262005497371_完整实验数据包 (1).zip,clinical_usefulness,5,Usefulness
202605260951386110,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605260951386110_完整实验数据包.zip,clinical_usefulness,7,Usefulness
202605250010279495,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605250010279495_完整实验数据包(1).zip,clinical_usefulness,7,Usefulness
202605242350044431,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605242350044431_完整实验数据包.zip,clinical_usefulness,5,Usefulness
202605241808324046,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241808324046_完整实验数据包.zip,clinical_usefulness,6,Usefulness
202605241546402950,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241546402950_完整实验数据包.zip,clinical_usefulness,3,Usefulness
202605241535115854,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605241535115854_完整实验数据包(1).zip,clinical_usefulness,5,Usefulness
202605232028003688,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605232028003688_完整实验数据包.zip,clinical_usefulness,10,Usefulness
202605220035401501,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605220035401501_完整实验数据包.zip,clinical_usefulness,7,Usefulness
202605211631039666,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605211631039666_完整实验数据包.zip,clinical_usefulness,4,Usefulness
202605211037337239,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605211037337239_完整实验数据包.zip,clinical_usefulness,1,Usefulness
202605211009141317,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\李帝均KOA_HCI_202605211009141317_完整实验数据包(1).zip,clinical_usefulness,5,Usefulness
202605210841183999,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605210841183999_完整实验数据包.zip,clinical_usefulness,4,Usefulness
202605201744236367,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201744236367_完整实验数据包(1).zip,clinical_usefulness,1,Usefulness
202605201744003591,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201744003591_完整实验数据包(1).zip,clinical_usefulness,9,Usefulness
202605201615368756,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201615368756_完整实验数据包.zip,clinical_usefulness,8,Usefulness
202605201541035791,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605201541035791_完整实验数据包(1).zip,clinical_usefulness,6,Usefulness
202605200932192020,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200932192020_完整实验数据包(1).zip,clinical_usefulness,3,Usefulness
202605200907425618,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200907425618_完整实验数据包.zip,clinical_usefulness,5,Usefulness
202605200837364163,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605200837364163_完整实验数据包(1).zip,clinical_usefulness,9,Usefulness
202605192200295883,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605192200295883_完整实验数据包.zip,clinical_usefulness,9,Usefulness
202605131333049798,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605131333049798_完整实验数据包(1)(1).zip,clinical_usefulness,8,Usefulness
202605111508532089,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605111508532089_完整实验数据包(1).zip,clinical_usefulness,10,Usefulness
202605102045329090,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605102045329090_完整实验数据包(1).zip,clinical_usefulness,8,Usefulness
202605092301375266,C:\Users\Liu\xwechat_files\wxid_pi4gpuoe4li132_f09f\msg\file\2026-05\KOA_HCI_202605092301375266_完整实验数据包(1).zip,clinical_usefulness,9,Usefulness
